Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE
Housing,Housing Tenure,Owner-occupied,157764,(+/- 4670 ),134132,(+/- 3617 ),177457,(+/- 4470 ),150244,(+/- 4491 ),130335,(+/- 4482 ),177502,(+/- 5063 ),172250,(+/- 5123 ),156298,(+/- 3789 ),183402,(+/- 4572 ),166657,(+/- 5435 ),175508,(+/- 4029 ),159370,(+/- 4488 ),154920,(+/- 4861 ),172767,(+/- 4474 )
Housing,Housing Tenure,Renter-occupied,109553,(+/- 4576 ),110409,(+/- 3792 ),86325,(+/- 4685 ),114224,(+/- 4938 ),168078,(+/- 6328 ),105499,(+/- 5047 ),84728,(+/- 4521 ),99743,(+/- 4110 ),71597,(+/- 3961 ),86775,(+/- 4339 ),104799,(+/- 4714 ),92980,(+/- 4726 ),102341,(+/- 5061 ),80478,(+/- 4528 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.65,(+/- 0.05 ),2.56,(+/- 0.07 ),2.77,(+/- 0.05 ),2.81,(+/- 0.07 ),2.53,(+/- 0.08 ),2.75,(+/- 0.05 ),3.12,(+/- 0.06 ),2.69,(+/- 0.06 ),2.79,(+/- 0.05 ),2.87,(+/- 0.06 ),2.79,(+/- 0.05 ),2.73,(+/- 0.06 ),2.79,(+/- 0.08 ),2.74,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.64,(+/- 0.08 ),2.63,(+/- 0.09 ),2.63,(+/- 0.11 ),2.83,(+/- 0.11 ),2.24,(+/- 0.07 ),2.51,(+/- 0.09 ),2.91,(+/- 0.10 ),2.67,(+/- 0.08 ),2.99,(+/- 0.12 ),2.75,(+/- 0.11 ),2.51,(+/- 0.09 ),2.68,(+/- 0.10 ),3.01,(+/- 0.12 ),2.78,(+/- 0.09 )
Housing,Year Householder Moved into Unit,Occupied housing units,267317,(+/- 3925 ),244541,(+/- 4823 ),263782,(+/- 4745 ),264468,(+/- 4790 ),298413,(+/- 6152 ),283001,(+/- 4969 ),256978,(+/- 4273 ),256041,(+/- 3908 ),254999,(+/- 4574 ),253432,(+/- 4715 ),280307,(+/- 4102 ),252350,(+/- 3817 ),257261,(+/- 5765 ),253245,(+/- 3277 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,68470,(+/- 4309 ),49525,(+/- 4156 ),48129,(+/- 3590 ),60739,(+/- 4278 ),80524,(+/- 4310 ),69825,(+/- 4665 ),54467,(+/- 3962 ),51513,(+/- 3393 ),40246,(+/- 3119 ),51796,(+/- 3995 ),63056,(+/- 4132 ),50365,(+/- 3316 ),55085,(+/- 4875 ),44024,(+/- 3731 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,72753,(+/- 3950 ),62597,(+/- 4462 ),72430,(+/- 4986 ),74497,(+/- 4384 ),105836,(+/- 5271 ),80557,(+/- 4626 ),81724,(+/- 4944 ),67856,(+/- 3725 ),64095,(+/- 3547 ),64148,(+/- 4429 ),88972,(+/- 4639 ),65337,(+/- 3261 ),81046,(+/- 4942 ),63840,(+/- 3898 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,63693,(+/- 3675 ),58035,(+/- 2910 ),76578,(+/- 3952 ),70304,(+/- 4191 ),58253,(+/- 3825 ),70848,(+/- 4430 ),76388,(+/- 3866 ),66284,(+/- 3371 ),78636,(+/- 3473 ),74568,(+/- 4355 ),74888,(+/- 4320 ),66826,(+/- 3500 ),69011,(+/- 4623 ),72504,(+/- 4379 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,31786,(+/- 3064 ),34256,(+/- 2248 ),33950,(+/- 3240 ),37648,(+/- 3067 ),23903,(+/- 2504 ),38222,(+/- 2575 ),30804,(+/- 2610 ),35623,(+/- 2807 ),38330,(+/- 2881 ),33206,(+/- 2954 ),32025,(+/- 2637 ),34292,(+/- 2943 ),29153,(+/- 3096 ),35733,(+/- 2502 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,13034,(+/- 1753 ),15543,(+/- 1813 ),16721,(+/- 2013 ),13340,(+/- 1675 ),12830,(+/- 1863 ),14060,(+/- 1478 ),8846,(+/- 1236 ),16472,(+/- 1840 ),15791,(+/- 1657 ),15594,(+/- 1916 ),13019,(+/- 1626 ),16065,(+/- 1784 ),12715,(+/- 1617 ),17574,(+/- 1885 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,17581,(+/- 1844 ),24585,(+/- 1837 ),15974,(+/- 1594 ),7940,(+/- 1173 ),17067,(+/- 1675 ),9489,(+/- 1244 ),4749,(+/- 1006 ),18293,(+/- 2015 ),17901,(+/- 1808 ),14120,(+/- 1715 ),8347,(+/- 1434 ),19465,(+/- 1839 ),10251,(+/- 1355 ),19570,(+/- 1894 )
Housing,Value,Owner-occupied units,157764,(+/- 4670 ),134132,(+/- 3617 ),177457,(+/- 4470 ),150244,(+/- 4491 ),130335,(+/- 4482 ),177502,(+/- 5063 ),172250,(+/- 5123 ),156298,(+/- 3789 ),183402,(+/- 4572 ),166657,(+/- 5435 ),175508,(+/- 4029 ),159370,(+/- 4488 ),154920,(+/- 4861 ),172767,(+/- 4474 )
Housing,Value,"Less than $50,000",19087,(+/- 2162 ),25561,(+/- 2169 ),13618,(+/- 1929 ),7996,(+/- 1335 ),11127,(+/- 2003 ),1738,(+/- 622 ),4401,(+/- 1218 ),28461,(+/- 2734 ),17238,(+/- 2429 ),16780,(+/- 1849 ),5565,(+/- 1253 ),28931,(+/- 2284 ),8313,(+/- 1615 ),19505,(+/- 2398 )
Housing,Value,"$50,000 to $99,999",26113,(+/- 2580 ),39771,(+/- 2622 ),30047,(+/- 2798 ),25459,(+/- 2469 ),26072,(+/- 2630 ),4764,(+/- 1193 ),6761,(+/- 1509 ),38425,(+/- 2609 ),26931,(+/- 2335 ),25871,(+/- 2154 ),8957,(+/- 1494 ),39905,(+/- 3166 ),29342,(+/- 3038 ),39575,(+/- 2840 )
Housing,Value,"$100,000 to $149,999",28852,(+/- 2853 ),23459,(+/- 2096 ),34645,(+/- 3091 ),37073,(+/- 2991 ),17534,(+/- 1947 ),10101,(+/- 1527 ),23645,(+/- 2315 ),27758,(+/- 2460 ),30281,(+/- 2694 ),29518,(+/- 2803 ),22369,(+/- 2379 ),32083,(+/- 3618 ),39004,(+/- 3031 ),41587,(+/- 2789 )
Housing,Value,"$150,000 to $199,999",26992,(+/- 2709 ),19673,(+/- 2074 ),32038,(+/- 2888 ),33023,(+/- 2696 ),16392,(+/- 2115 ),17296,(+/- 1792 ),36297,(+/- 3658 ),25742,(+/- 2529 ),34810,(+/- 2577 ),30949,(+/- 2945 ),34752,(+/- 3404 ),24264,(+/- 2053 ),31541,(+/- 2854 ),29215,(+/- 3125 )
Housing,Value,"$200,000 to $299,999",28989,(+/- 3077 ),16270,(+/- 1561 ),35221,(+/- 2781 ),27141,(+/- 2536 ),17823,(+/- 1823 ),31964,(+/- 2268 ),46322,(+/- 2386 ),21903,(+/- 2226 ),38037,(+/- 2515 ),32397,(+/- 3006 ),44773,(+/- 3587 ),21623,(+/- 2249 ),27193,(+/- 3569 ),24869,(+/- 2734 )
Housing,Value,"$300,000 to $499,999",16506,(+/- 2089 ),6451,(+/- 1180 ),25138,(+/- 2243 ),14784,(+/- 1789 ),20748,(+/- 2024 ),64340,(+/- 3536 ),40077,(+/- 2460 ),10294,(+/- 1667 ),24602,(+/- 2341 ),21595,(+/- 2393 ),37279,(+/- 2885 ),9667,(+/- 1508 ),15408,(+/- 2435 ),13531,(+/- 1892 )
Housing,Value,"$500,000 to $999,999",8650,(+/- 1230 ),2335,(+/- 695 ),6127,(+/- 987 ),4281,(+/- 1052 ),15529,(+/- 1613 ),42709,(+/- 2945 ),13732,(+/- 1559 ),3231,(+/- 766 ),9252,(+/- 1260 ),7907,(+/- 1564 ),16096,(+/- 2053 ),2225,(+/- 642 ),2999,(+/- 1024 ),3680,(+/- 966 )
Housing,Value,"$1,000,000 or more",2575,(+/- 729 ),612,(+/- 310 ),623,(+/- 403 ),487,(+/- 348 ),5110,(+/- 1016 ),4590,(+/- 997 ),1015,(+/- 389 ),484,(+/- 270 ),2251,(+/- 697 ),1640,(+/- 551 ),5717,(+/- 1084 ),672,(+/- 375 ),1120,(+/- 521 ),805,(+/- 489 )
Housing,Value,Median (dollars),156900,(+/- 4618 ),103100,(+/- 4567 ),163500,(+/- 4035 ),155800,(+/- 4175 ),177600,(+/- 8327 ),356400,(+/- 5558 ),229500,(+/- 5443 ),121800,(+/- 5589 ),170900,(+/- 3925 ),164900,(+/- 3527 ),233000,(+/- 7180 ),115900,(+/- 4344 ),150900,(+/- 4760 ),132000,(+/- 3889 )
Housing,Mortgage Status,Owner-occupied units,157764,(+/- 4670 ),134132,(+/- 3617 ),177457,(+/- 4470 ),150244,(+/- 4491 ),130335,(+/- 4482 ),177502,(+/- 5063 ),172250,(+/- 5123 ),156298,(+/- 3789 ),183402,(+/- 4572 ),166657,(+/- 5435 ),175508,(+/- 4029 ),159370,(+/- 4488 ),154920,(+/- 4861 ),172767,(+/- 4474 )
Housing,Mortgage Status,Housing units with a mortgage,96765,(+/- 3966 ),72355,(+/- 2897 ),114127,(+/- 4294 ),114758,(+/- 4923 ),90769,(+/- 4181 ),130966,(+/- 4970 ),128778,(+/- 4356 ),87871,(+/- 4068 ),104998,(+/- 4221 ),104489,(+/- 5030 ),124660,(+/- 4178 ),87638,(+/- 4083 ),114273,(+/- 4698 ),102884,(+/- 4444 )
Housing,Mortgage Status,Housing units without a mortgage,60999,(+/- 3455 ),61777,(+/- 3022 ),63330,(+/- 3342 ),35486,(+/- 3233 ),39566,(+/- 2473 ),46536,(+/- 2818 ),43472,(+/- 2755 ),68427,(+/- 3428 ),78404,(+/- 3810 ),62168,(+/- 3640 ),50848,(+/- 2802 ),71732,(+/- 3161 ),40647,(+/- 3178 ),69883,(+/- 3092 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,96765,(+/- 3966 ),72355,(+/- 2897 ),114127,(+/- 4294 ),114758,(+/- 4923 ),90769,(+/- 4181 ),130966,(+/- 4970 ),128778,(+/- 4356 ),87871,(+/- 4068 ),104998,(+/- 4221 ),104489,(+/- 5030 ),124660,(+/- 4178 ),87638,(+/- 4083 ),114273,(+/- 4698 ),102884,(+/- 4444 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,1856,(+/- 821 ),2083,(+/- 660 ),2163,(+/- 796 ),1660,(+/- 581 ),1512,(+/- 610 ),501,(+/- 402 ),1162,(+/- 498 ),2516,(+/- 878 ),2330,(+/- 795 ),1468,(+/- 539 ),1754,(+/- 582 ),2080,(+/- 586 ),1782,(+/- 680 ),2563,(+/- 868 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,26772,(+/- 2528 ),29021,(+/- 2030 ),29983,(+/- 2978 ),23337,(+/- 2274 ),16333,(+/- 1984 ),11063,(+/- 1811 ),13245,(+/- 1854 ),32840,(+/- 2801 ),31705,(+/- 2423 ),28157,(+/- 2534 ),16271,(+/- 2134 ),31458,(+/- 2975 ),32049,(+/- 2758 ),38231,(+/- 2536 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",32538,(+/- 2471 ),24363,(+/- 2491 ),39696,(+/- 3406 ),49309,(+/- 4162 ),28731,(+/- 2433 ),27623,(+/- 2349 ),42805,(+/- 3639 ),28400,(+/- 2816 ),35704,(+/- 2693 ),38251,(+/- 2812 ),43764,(+/- 3313 ),32224,(+/- 3020 ),44052,(+/- 3874 ),34314,(+/- 2888 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",19706,(+/- 2372 ),11052,(+/- 1483 ),23570,(+/- 2707 ),24741,(+/- 2496 ),15436,(+/- 1851 ),28948,(+/- 2538 ),35624,(+/- 3090 ),15054,(+/- 2483 ),18928,(+/- 1831 ),21025,(+/- 2863 ),30730,(+/- 2731 ),12942,(+/- 1806 ),22671,(+/- 2953 ),16976,(+/- 2264 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",7627,(+/- 1482 ),3381,(+/- 838 ),9131,(+/- 1544 ),7991,(+/- 1572 ),10935,(+/- 1797 ),24016,(+/- 2609 ),18964,(+/- 2045 ),6058,(+/- 1279 ),8641,(+/- 1624 ),6905,(+/- 1160 ),14613,(+/- 2125 ),5368,(+/- 1410 ),8145,(+/- 1627 ),6747,(+/- 1474 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",3809,(+/- 1085 ),1175,(+/- 521 ),4746,(+/- 1007 ),3234,(+/- 985 ),5531,(+/- 893 ),15763,(+/- 2011 ),7959,(+/- 1611 ),1622,(+/- 665 ),4284,(+/- 1010 ),4676,(+/- 1166 ),7247,(+/- 1224 ),2171,(+/- 849 ),2260,(+/- 779 ),1803,(+/- 696 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",4457,(+/- 1020 ),1280,(+/- 521 ),4838,(+/- 982 ),4486,(+/- 1189 ),12291,(+/- 1491 ),23052,(+/- 2201 ),9019,(+/- 1344 ),1381,(+/- 411 ),3406,(+/- 794 ),4007,(+/- 906 ),10281,(+/- 1328 ),1395,(+/- 620 ),3314,(+/- 895 ),2250,(+/- 821 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1285,(+/- 45 ),1087,(+/- 29 ),1258,(+/- 46 ),1299,(+/- 36 ),1476,(+/- 44 ),1957,(+/- 35 ),1593,(+/- 36 ),1131,(+/- 34 ),1247,(+/- 34 ),1277,(+/- 34 ),1508,(+/- 38 ),1141,(+/- 32 ),1261,(+/- 32 ),1119,(+/- 23 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,60999,(+/- 3455 ),61777,(+/- 3022 ),63330,(+/- 3342 ),35486,(+/- 3233 ),39566,(+/- 2473 ),46536,(+/- 2818 ),43472,(+/- 2755 ),68427,(+/- 3428 ),78404,(+/- 3810 ),62168,(+/- 3640 ),50848,(+/- 2802 ),71732,(+/- 3161 ),40647,(+/- 3178 ),69883,(+/- 3092 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,12064,(+/- 1693 ),11706,(+/- 1572 ),8344,(+/- 1325 ),5465,(+/- 1231 ),5275,(+/- 1114 ),1444,(+/- 509 ),3840,(+/- 1051 ),14450,(+/- 1834 ),15944,(+/- 1991 ),7700,(+/- 1136 ),4207,(+/- 1094 ),15873,(+/- 1953 ),6111,(+/- 1246 ),16491,(+/- 2495 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,19090,(+/- 2257 ),22797,(+/- 1849 ),22766,(+/- 2344 ),9901,(+/- 1583 ),10207,(+/- 1289 ),7777,(+/- 1342 ),11794,(+/- 1673 ),25934,(+/- 2120 ),31270,(+/- 2346 ),21114,(+/- 2065 ),16947,(+/- 2150 ),28652,(+/- 2318 ),15017,(+/- 1826 ),27841,(+/- 2536 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,17510,(+/- 1900 ),19134,(+/- 1885 ),21352,(+/- 2285 ),11759,(+/- 1693 ),12100,(+/- 1591 ),14042,(+/- 1918 ),15065,(+/- 1628 ),20261,(+/- 2129 ),21196,(+/- 1974 ),20073,(+/- 1972 ),16302,(+/- 1851 ),18885,(+/- 2081 ),12011,(+/- 1882 ),18340,(+/- 1975 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,6162,(+/- 1266 ),5518,(+/- 1031 ),7115,(+/- 1297 ),5539,(+/- 1220 ),4856,(+/- 918 ),11029,(+/- 1339 ),7681,(+/- 1455 ),5731,(+/- 1110 ),6437,(+/- 1128 ),8460,(+/- 1588 ),6616,(+/- 1350 ),5580,(+/- 1201 ),6083,(+/- 1432 ),5053,(+/- 1306 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,3300,(+/- 857 ),1697,(+/- 580 ),2703,(+/- 703 ),1413,(+/- 594 ),1861,(+/- 641 ),4395,(+/- 995 ),2779,(+/- 915 ),1326,(+/- 493 ),1992,(+/- 687 ),2407,(+/- 681 ),2230,(+/- 870 ),1771,(+/- 557 ),1085,(+/- 521 ),1355,(+/- 494 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",2873,(+/- 641 ),925,(+/- 414 ),1050,(+/- 489 ),1409,(+/- 577 ),5267,(+/- 1004 ),7849,(+/- 1454 ),2313,(+/- 645 ),725,(+/- 341 ),1565,(+/- 571 ),2414,(+/- 730 ),4546,(+/- 1036 ),971,(+/- 481 ),340,(+/- 270 ),803,(+/- 406 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),395,(+/- 16 ),376,(+/- 10 ),405,(+/- 16 ),437,(+/- 22 ),453,(+/- 19 ),600,(+/- 23 ),477,(+/- 19 ),364,(+/- 11 ),357,(+/- 10 ),417,(+/- 13 ),449,(+/- 22 ),352,(+/- 11 ),392,(+/- 16 ),339,(+/- 10 )
Housing,Gross Rent,Occupied units paying rent,102909,(+/- 4314 ),103552,(+/- 3866 ),80867,(+/- 4450 ),111539,(+/- 4898 ),163237,(+/- 6550 ),103132,(+/- 4949 ),82631,(+/- 4662 ),92502,(+/- 4098 ),65048,(+/- 3854 ),79491,(+/- 4118 ),102065,(+/- 4821 ),83702,(+/- 4519 ),98009,(+/- 5088 ),74351,(+/- 4619 )
Housing,Gross Rent,Less than $500,11809,(+/- 1587 ),20076,(+/- 2491 ),7514,(+/- 1574 ),3473,(+/- 903 ),16227,(+/- 2215 ),1943,(+/- 1062 ),2001,(+/- 744 ),17111,(+/- 2127 ),9192,(+/- 1730 ),8847,(+/- 1545 ),3795,(+/- 1211 ),15563,(+/- 1838 ),1489,(+/- 676 ),12379,(+/- 1732 )
Housing,Gross Rent,$500 to $999,47717,(+/- 3264 ),65254,(+/- 3186 ),45490,(+/- 3861 ),54288,(+/- 3505 ),63363,(+/- 4527 ),20407,(+/- 2453 ),19328,(+/- 1981 ),57685,(+/- 3417 ),41437,(+/- 3788 ),46669,(+/- 3488 ),37481,(+/- 3396 ),48783,(+/- 3795 ),41479,(+/- 3763 ),45985,(+/- 3525 )
Housing,Gross Rent,"$1,000 to $1,499",34130,(+/- 2923 ),14620,(+/- 2135 ),21437,(+/- 2829 ),44145,(+/- 3812 ),57901,(+/- 3662 ),52160,(+/- 3453 ),43783,(+/- 3502 ),15425,(+/- 2497 ),11150,(+/- 1440 ),17286,(+/- 2218 ),46362,(+/- 4353 ),16763,(+/- 2111 ),42743,(+/- 3867 ),13176,(+/- 2485 )
Housing,Gross Rent,"$1,500 to $1,999",6740,(+/- 1392 ),3320,(+/- 820 ),4407,(+/- 1207 ),8231,(+/- 1859 ),18228,(+/- 2252 ),21838,(+/- 3365 ),12400,(+/- 2502 ),1727,(+/- 741 ),2270,(+/- 790 ),4381,(+/- 1514 ),9377,(+/- 1794 ),1639,(+/- 706 ),10464,(+/- 2418 ),2254,(+/- 849 )
Housing,Gross Rent,"$2,000 to $2,499",1603,(+/- 722 ),84,(+/- 94 ),1208,(+/- 715 ),992,(+/- 770 ),5330,(+/- 1250 ),4607,(+/- 1258 ),3390,(+/- 1201 ),208,(+/- 238 ),364,(+/- 256 ),1624,(+/- 931 ),2760,(+/- 1200 ),737,(+/- 506 ),1622,(+/- 931 ),258,(+/- 403 )
Housing,Gross Rent,"$2,500 to $2,999",221,(+/- 224 ),152,(+/- 140 ),426,(+/- 372 ),271,(+/- 321 ),1110,(+/- 513 ),1039,(+/- 621 ),713,(+/- 529 ),33,(+/- 43 ),299,(+/- 255 ),601,(+/- 478 ),1284,(+/- 718 ),60,(+/- 109 ),212,(+/- 259 ),40,(+/- 68 )
Housing,Gross Rent,"$3,000 or more",689,(+/- 405 ),46,(+/- 58 ),385,(+/- 392 ),139,(+/- 228 ),1078,(+/- 384 ),1138,(+/- 556 ),1016,(+/- 760 ),313,(+/- 283 ),336,(+/- 282 ),83,(+/- 143 ),1006,(+/- 577 ),157,(+/- 186 ),0,(+/- 218 ),259,(+/- 184 )
Housing,Gross Rent,Median (dollars),913,(+/- 29 ),707,(+/- 17 ),877,(+/- 21 ),988,(+/- 17 ),1014,(+/- 23 ),1234,(+/- 26 ),1183,(+/- 20 ),717,(+/- 20 ),779,(+/- 18 ),806,(+/- 29 ),1086,(+/- 22 ),741,(+/- 24 ),1051,(+/- 25 ),727,(+/- 21 )
Housing,Gross Rent,No rent paid,6644,(+/- 1274 ),6857,(+/- 1185 ),5458,(+/- 1252 ),2685,(+/- 1020 ),4841,(+/- 1044 ),2367,(+/- 706 ),2097,(+/- 1002 ),7241,(+/- 1539 ),6549,(+/- 1213 ),7284,(+/- 1515 ),2734,(+/- 1060 ),9278,(+/- 1668 ),4332,(+/- 1328 ),6127,(+/- 1387 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,267317,(+/- 3925 ),244541,(+/- 4823 ),263782,(+/- 4745 ),264468,(+/- 4790 ),298413,(+/- 6152 ),283001,(+/- 4969 ),256978,(+/- 4273 ),256041,(+/- 3908 ),254999,(+/- 4574 ),253432,(+/- 4715 ),280307,(+/- 4102 ),252350,(+/- 3817 ),257261,(+/- 5765 ),253245,(+/- 3277 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",20082,(+/- 2277 ),33138,(+/- 3028 ),18807,(+/- 2795 ),18111,(+/- 2956 ),30529,(+/- 2951 ),9899,(+/- 1851 ),10531,(+/- 1750 ),26990,(+/- 3065 ),18521,(+/- 2395 ),19545,(+/- 2082 ),13963,(+/- 2331 ),25801,(+/- 2522 ),15072,(+/- 2773 ),16515,(+/- 2365 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",16512,(+/- 1894 ),19501,(+/- 2088 ),12196,(+/- 1957 ),12522,(+/- 2045 ),19637,(+/- 2654 ),5820,(+/- 1238 ),6933,(+/- 1547 ),16180,(+/- 2021 ),14182,(+/- 1741 ),15888,(+/- 2076 ),7911,(+/- 1270 ),16566,(+/- 2398 ),9013,(+/- 1985 ),13729,(+/- 1973 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",26307,(+/- 2603 ),36943,(+/- 3430 ),24081,(+/- 2592 ),26394,(+/- 3045 ),33560,(+/- 3240 ),15638,(+/- 2418 ),18875,(+/- 2332 ),31847,(+/- 3246 ),29638,(+/- 2655 ),26775,(+/- 2838 ),20658,(+/- 3154 ),30227,(+/- 2914 ),28203,(+/- 3098 ),32310,(+/- 3127 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",28308,(+/- 2800 ),30816,(+/- 2513 ),26843,(+/- 2778 ),28731,(+/- 3380 ),29622,(+/- 2669 ),16863,(+/- 2171 ),19828,(+/- 2140 ),29502,(+/- 2533 ),25790,(+/- 2468 ),25801,(+/- 2550 ),22105,(+/- 2726 ),28440,(+/- 2438 ),21533,(+/- 2755 ),32370,(+/- 2873 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",39090,(+/- 3024 ),34995,(+/- 2652 ),35564,(+/- 3389 ),40792,(+/- 3735 ),38122,(+/- 3258 ),26267,(+/- 2664 ),30131,(+/- 2921 ),37175,(+/- 2846 ),38897,(+/- 3489 ),35304,(+/- 3087 ),32698,(+/- 3513 ),39948,(+/- 3215 ),37957,(+/- 4143 ),34002,(+/- 3844 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",50452,(+/- 3579 ),39567,(+/- 2918 ),50857,(+/- 3932 ),51053,(+/- 3916 ),51973,(+/- 3291 ),47624,(+/- 3671 ),46086,(+/- 4040 ),44635,(+/- 3200 ),48902,(+/- 3113 ),43585,(+/- 3270 ),53184,(+/- 3758 ),43546,(+/- 3199 ),52538,(+/- 3988 ),52718,(+/- 3610 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",34114,(+/- 3272 ),19772,(+/- 2239 ),35042,(+/- 3297 ),33844,(+/- 3067 ),28407,(+/- 2271 ),35905,(+/- 3343 ),38381,(+/- 2964 ),25943,(+/- 2304 ),31157,(+/- 2960 ),33722,(+/- 3071 ),36252,(+/- 3486 ),27777,(+/- 3052 ),38308,(+/- 3899 ),29525,(+/- 3023 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",31461,(+/- 2751 ),19134,(+/- 2198 ),35767,(+/- 2538 ),32497,(+/- 3372 ),31497,(+/- 2766 ),52895,(+/- 3591 ),43169,(+/- 3520 ),27435,(+/- 2473 ),30872,(+/- 2455 ),29069,(+/- 2571 ),47295,(+/- 3628 ),25588,(+/- 2342 ),36070,(+/- 2859 ),27528,(+/- 2750 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",11540,(+/- 1793 ),6124,(+/- 1254 ),12275,(+/- 1817 ),11662,(+/- 2049 ),13983,(+/- 1814 ),27685,(+/- 2317 ),20825,(+/- 2092 ),9060,(+/- 1788 ),9318,(+/- 1293 ),11460,(+/- 1805 ),22453,(+/- 2782 ),7876,(+/- 1432 ),9850,(+/- 1569 ),8411,(+/- 1762 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",9451,(+/- 1767 ),4551,(+/- 1022 ),12350,(+/- 1688 ),8862,(+/- 1506 ),21083,(+/- 2066 ),44405,(+/- 3305 ),22219,(+/- 2776 ),7274,(+/- 1451 ),7722,(+/- 1140 ),12283,(+/- 1821 ),23788,(+/- 2292 ),6581,(+/- 1192 ),8717,(+/- 1709 ),6137,(+/- 1545 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),50931,(+/- 1058 ),35617,(+/- 1329 ),56240,(+/- 2094 ),51686,(+/- 1312 ),48269,(+/- 2758 ),87139,(+/- 3373 ),72481,(+/- 2511 ),44360,(+/- 1844 ),50154,(+/- 1300 ),51532,(+/- 1589 ),69610,(+/- 2432 ),43933,(+/- 2069 ),57342,(+/- 2822 ),48691,(+/- 2458 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),69166,(+/- 2520 ),51161,(+/- 1825 ),75667,(+/- 3194 ),69411,(+/- 2676 ),77047,(+/- 3066 ),120503,(+/- 3656 ),93819,(+/- 3084 ),60467,(+/- 2143 ),65643,(+/- 1908 ),71119,(+/- 2007 ),96780,(+/- 3362 ),60464,(+/- 2226 ),71738,(+/- 2558 ),63939,(+/- 2986 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,705201,(+/- 4704 ),638458,(+/- 6697 ),721380,(+/- 9867 ),745926,(+/- 15876 ),737042,(+/- 14198 ),754073,(+/- 12930 ),784905,(+/- 17061 ),687694,(+/- 5663 ),729546,(+/- 6980 ),728869,(+/- 14056 ),757822,(+/- 12931 ),688597,(+/- 6389 ),740399,(+/- 16669 ),700876,(+/- 4280 )
