Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),72693,(+/- 2227 ),63728,(+/- 1756 ),65911,(+/- 1628 ),69853,(+/- 1767 ),94033,(+/- 3388 ),64371,(+/- 1420 ),57565,(+/- 2738 ),64696,(+/- 1988 ),71613,(+/- 2176 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,699434,(+/- 3118 ),714078,(+/- 4040 ),732466,(+/- 2980 ),735930,(+/- 5571 ),759877,(+/- 8679 ),708068,(+/- 3024 ),743154,(+/- 8062 ),700692,(+/- 3016 ),741215,(+/- 4618 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,653750,(+/- 5045 ),635720,(+/- 7826 ),661612,(+/- 6304 ),682888,(+/- 7467 ),712927,(+/- 8749 ),646928,(+/- 5573 ),670861,(+/- 10096 ),647400,(+/- 5846 ),692465,(+/- 6541 )
Socioeconomic,Health Insurance Coverage,With private health insurance,488746,(+/- 8941 ),478354,(+/- 10904 ),503026,(+/- 9441 ),554092,(+/- 9381 ),596932,(+/- 11457 ),501566,(+/- 9846 ),442724,(+/- 13272 ),504506,(+/- 8031 ),553556,(+/- 10392 )
Socioeconomic,Health Insurance Coverage,With public coverage,249180,(+/- 6370 ),243683,(+/- 7602 ),242675,(+/- 6673 ),224605,(+/- 8060 ),204856,(+/- 8160 ),241646,(+/- 8119 ),297517,(+/- 10442 ),242481,(+/- 6795 ),230563,(+/- 7750 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,45684,(+/- 4468 ),78358,(+/- 7416 ),70854,(+/- 5718 ),53042,(+/- 5255 ),46950,(+/- 5011 ),61140,(+/- 4726 ),72293,(+/- 6614 ),53292,(+/- 4678 ),48750,(+/- 4909 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,165528,(+/- 1405 ),179673,(+/- 1823 ),190606,(+/- 1403 ),170942,(+/- 2637 ),185942,(+/- 5028 ),158983,(+/- 1302 ),195091,(+/- 5023 ),162728,(+/- 1914 ),164432,(+/- 2440 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,3793,(+/- 976 ),18263,(+/- 3197 ),18288,(+/- 3056 ),8597,(+/- 2283 ),6013,(+/- 1647 ),11529,(+/- 2450 ),7447,(+/- 1875 ),10534,(+/- 1780 ),7686,(+/- 2326 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,10.4,(+/- 1.1 ),9.6,(+/- 1.1 ),9.7,(+/- 1.0 ),7.8,(+/- 1.0 ),7.3,(+/- 0.9 ),9.7,(+/- 1.1 ),16.0,(+/- 1.6 ),9.0,(+/- 1.1 ),7.8,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,17.9,(+/- 2.1 ),16.5,(+/- 2.0 ),17.2,(+/- 2.0 ),13.9,(+/- 2.0 ),11.4,(+/- 1.6 ),16.8,(+/- 2.0 ),25.5,(+/- 2.8 ),15.2,(+/- 2.1 ),13.0,(+/- 2.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,16.4,(+/- 4.8 ),19.1,(+/- 4.3 ),17.4,(+/- 4.7 ),16.1,(+/- 4.4 ),11.3,(+/- 3.6 ),19.8,(+/- 5.7 ),21.3,(+/- 5.7 ),22.1,(+/- 5.5 ),16.1,(+/- 5.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,3.9,(+/- 0.7 ),4.4,(+/- 0.9 ),4.9,(+/- 0.9 ),4.0,(+/- 0.9 ),2.9,(+/- 0.6 ),5.3,(+/- 1.0 ),8.6,(+/- 1.5 ),4.2,(+/- 0.8 ),3.5,(+/- 0.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,5.5,(+/- 1.5 ),7.1,(+/- 1.9 ),8.3,(+/- 1.9 ),7.0,(+/- 1.7 ),3.5,(+/- 1.1 ),7.9,(+/- 1.8 ),13.9,(+/- 3.1 ),6.2,(+/- 1.7 ),5.2,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,3.2,(+/- 2.9 ),1.9,(+/- 1.8 ),4.2,(+/- 3.0 ),4.6,(+/- 2.9 ),2.4,(+/- 1.5 ),6.8,(+/- 4.5 ),11.8,(+/- 7.0 ),10.4,(+/- 4.9 ),8.3,(+/- 4.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",29.6,(+/- 4.2 ),30.6,(+/- 4.0 ),31.7,(+/- 4.6 ),24.8,(+/- 4.5 ),24.8,(+/- 4.5 ),31.4,(+/- 3.9 ),31.0,(+/- 3.8 ),29.1,(+/- 3.9 ),28.8,(+/- 4.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,44.1,(+/- 5.6 ),41.3,(+/- 5.4 ),40.5,(+/- 5.4 ),33.5,(+/- 6.0 ),30.4,(+/- 5.7 ),44.5,(+/- 5.5 ),39.9,(+/- 5.0 ),38.4,(+/- 5.8 ),37.2,(+/- 6.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,44.6,(+/- 14.6 ),54.6,(+/- 11.8 ),48.3,(+/- 13.0 ),63.9,(+/- 13.9 ),49.6,(+/- 19.0 ),52.3,(+/- 13.8 ),35.3,(+/- 9.9 ),49.6,(+/- 13.0 ),40.6,(+/- 17.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,14.3,(+/- 1.2 ),14.5,(+/- 1.3 ),13.5,(+/- 1.1 ),12.8,(+/- 1.1 ),9.8,(+/- 1.0 ),14.7,(+/- 1.1 ),20.8,(+/- 1.6 ),13.8,(+/- 1.1 ),12.7,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,22.4,(+/- 2.8 ),20.8,(+/- 2.8 ),19.8,(+/- 2.1 ),15.3,(+/- 2.4 ),12.7,(+/- 2.0 ),20.1,(+/- 2.5 ),31.6,(+/- 3.6 ),17.7,(+/- 2.4 ),13.9,(+/- 2.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,21.9,(+/- 2.8 ),20.7,(+/- 2.8 ),19.2,(+/- 2.1 ),14.7,(+/- 2.4 ),12.5,(+/- 2.0 ),19.6,(+/- 2.6 ),31.3,(+/- 3.7 ),17.1,(+/- 2.4 ),13.5,(+/- 2.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,26.3,(+/- 4.4 ),21.9,(+/- 3.6 ),20.6,(+/- 3.7 ),16.1,(+/- 3.3 ),13.2,(+/- 3.0 ),23.4,(+/- 4.2 ),29.0,(+/- 4.6 ),22.7,(+/- 4.1 ),16.1,(+/- 3.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,20.5,(+/- 2.9 ),20.3,(+/- 3.2 ),18.6,(+/- 2.3 ),14.2,(+/- 2.6 ),12.3,(+/- 2.5 ),18.4,(+/- 2.7 ),32.2,(+/- 4.1 ),15.1,(+/- 2.7 ),12.6,(+/- 2.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,11.8,(+/- 0.8 ),12.3,(+/- 1.0 ),11.3,(+/- 0.9 ),12.0,(+/- 0.9 ),8.9,(+/- 0.9 ),13.1,(+/- 0.8 ),17.0,(+/- 1.1 ),12.7,(+/- 0.8 ),12.3,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8.0,(+/- 1.3 ),8.2,(+/- 1.5 ),7.2,(+/- 1.2 ),6.3,(+/- 1.1 ),6.3,(+/- 1.1 ),8.3,(+/- 1.2 ),8.6,(+/- 1.5 ),9.3,(+/- 1.5 ),7.0,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,11.7,(+/- 1.3 ),11.6,(+/- 1.4 ),11.0,(+/- 1.1 ),8.6,(+/- 1.2 ),7.6,(+/- 1.0 ),11.4,(+/- 1.3 ),18.8,(+/- 2.0 ),10.1,(+/- 1.2 ),8.3,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,26.1,(+/- 1.8 ),27.9,(+/- 2.2 ),24.1,(+/- 2.1 ),29.4,(+/- 1.9 ),19.1,(+/- 2.1 ),28.9,(+/- 1.9 ),27.1,(+/- 2.1 ),28.9,(+/- 1.9 ),30.5,(+/- 2.1 )
Education,School Enrollment,Population 3 years and over enrolled in school,171210,(+/- 3666 ),180811,(+/- 4215 ),184225,(+/- 3558 ),205746,(+/- 5294 ),194506,(+/- 5447 ),172753,(+/- 3912 ),200779,(+/- 6150 ),170312,(+/- 3953 ),203877,(+/- 4409 )
Education,School Enrollment,"Nursery school, preschool",9003,(+/- 1620 ),10188,(+/- 1293 ),12460,(+/- 1650 ),12183,(+/- 1733 ),13774,(+/- 2066 ),8297,(+/- 1334 ),14336,(+/- 2174 ),9388,(+/- 1377 ),13353,(+/- 2024 )
Education,School Enrollment,Kindergarten,8346,(+/- 1556 ),10419,(+/- 1503 ),9227,(+/- 1259 ),9440,(+/- 1977 ),10210,(+/- 1877 ),10351,(+/- 1582 ),12938,(+/- 2353 ),7763,(+/- 1337 ),9861,(+/- 1488 )
Education,School Enrollment,Elementary school (grades 1-8),76964,(+/- 2257 ),82255,(+/- 2229 ),84346,(+/- 2408 ),77257,(+/- 3245 ),84478,(+/- 3809 ),67813,(+/- 2202 ),86623,(+/- 3979 ),74201,(+/- 2071 ),73670,(+/- 2633 )
Education,School Enrollment,High school (grades 9-12),40483,(+/- 1911 ),41701,(+/- 2088 ),41617,(+/- 1777 ),39557,(+/- 2608 ),42092,(+/- 2134 ),41538,(+/- 2391 ),40494,(+/- 2930 ),35653,(+/- 1980 ),39141,(+/- 1786 )
Education,School Enrollment,College or graduate school,36414,(+/- 2636 ),36248,(+/- 2932 ),36575,(+/- 2698 ),67309,(+/- 4423 ),43952,(+/- 3118 ),44754,(+/- 2767 ),46388,(+/- 3739 ),43307,(+/- 3164 ),67852,(+/- 3487 )
Education,Educational Attainment,Population 25 years and over,481858,(+/- 2785 ),474369,(+/- 3565 ),482856,(+/- 2550 ),483085,(+/- 3836 ),518432,(+/- 5809 ),486573,(+/- 3008 ),484437,(+/- 4915 ),485301,(+/- 2524 ),495665,(+/- 3887 )
Education,Educational Attainment,Less than 9th grade,15564,(+/- 2020 ),26971,(+/- 3148 ),25445,(+/- 2289 ),13683,(+/- 1845 ),9939,(+/- 1580 ),16615,(+/- 2426 ),26943,(+/- 3134 ),15560,(+/- 1874 ),14022,(+/- 1975 )
Education,Educational Attainment,"9th to 12th grade, no diploma",35243,(+/- 3734 ),47315,(+/- 3515 ),35560,(+/- 2433 ),36834,(+/- 3317 ),24162,(+/- 2650 ),41009,(+/- 2901 ),46878,(+/- 3736 ),39988,(+/- 3386 ),39768,(+/- 3717 )
Education,Educational Attainment,High school graduate (includes equivalency),167957,(+/- 5013 ),173090,(+/- 5638 ),162784,(+/- 5560 ),169645,(+/- 5740 ),119720,(+/- 6002 ),192329,(+/- 4945 ),152881,(+/- 6179 ),175874,(+/- 5646 ),167602,(+/- 5509 )
Education,Educational Attainment,"Some college, no degree",109282,(+/- 5099 ),94460,(+/- 3821 ),103988,(+/- 4449 ),96211,(+/- 5227 ),94016,(+/- 5119 ),95648,(+/- 3662 ),105675,(+/- 5443 ),99246,(+/- 4502 ),101687,(+/- 4932 )
Education,Educational Attainment,Associate's degree,44850,(+/- 3042 ),33991,(+/- 2813 ),44587,(+/- 2986 ),41216,(+/- 3808 ),37512,(+/- 3019 ),40177,(+/- 2838 ),38433,(+/- 3219 ),51370,(+/- 3300 ),42000,(+/- 3295 )
Education,Educational Attainment,Bachelor's degree,70421,(+/- 3618 ),62443,(+/- 3568 ),72616,(+/- 3794 ),78619,(+/- 4454 ),147652,(+/- 6677 ),62943,(+/- 3807 ),76422,(+/- 4598 ),66367,(+/- 4177 ),78810,(+/- 4348 )
Education,Educational Attainment,Graduate or professional degree,38541,(+/- 3667 ),36099,(+/- 3023 ),37876,(+/- 2950 ),46877,(+/- 3930 ),85431,(+/- 4620 ),37852,(+/- 2889 ),37205,(+/- 3239 ),36896,(+/- 2674 ),51776,(+/- 3562 )
Education,Educational Attainment,Percent high school graduate or higher,89.5,(+/- 0.8 ),84.3,(+/- 0.9 ),87.4,(+/- 0.7 ),89.5,(+/- 0.8 ),93.4,(+/- 0.6 ),88.2,(+/- 0.8 ),84.8,(+/- 1.0 ),88.6,(+/- 0.8 ),89.1,(+/- 0.9 )
Education,Educational Attainment,Percent bachelor's degree or higher,22.6,(+/- 1.0 ),20.8,(+/- 1.0 ),22.9,(+/- 1.0 ),26.0,(+/- 1.3 ),45.0,(+/- 1.2 ),20.7,(+/- 0.9 ),23.5,(+/- 1.1 ),21.3,(+/- 1.0 ),26.3,(+/- 1.1 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag,District 03 Estimate,District 03 Flag,District 04 Estimate,District 04 Flag,District 05 Estimate,District 05 Flag,District 06 Estimate,District 06 Flag,District 07 Estimate,District 07 Flag,District 08 Estimate,District 08 Flag,District 09 Estimate,District 09 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,237701,G,316002,G,320650,G,255057,G,384196,G,239973,G,350471,G,278663,G,239013,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",a,D,215,J,206,H,268,G,176,H,209,G,b,D,173,G,128,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",95,H,105,J,253,G,291,H,276,H,311,G,84,G,3487,G,583,G
Business,Paid employees for pay period including March 12,Utilities,g,D,679,J,837,H,1830,J,1268,G,1391,H,2016,J,3471,H,1295,H
Business,Paid employees for pay period including March 12,Construction,13260,G,9831,G,12811,G,12190,G,16649,G,9528,G,19694,G,15549,G,12923,G
Business,Paid employees for pay period including March 12,Manufacturing,35635,G,106613,G,86489,G,58288,G,25308,G,52949,G,33178,G,55737,G,45698,G
Business,Paid employees for pay period including March 12,Wholesale trade,7571,G,15258,G,16411,G,10444,G,18218,G,6825,G,19687,G,13038,G,8552,G
Business,Paid employees for pay period including March 12,Retail trade,36839,G,33961,G,37789,G,37539,G,45700,G,30027,G,30786,G,36112,G,36576,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,10337,G,8002,G,10769,G,17598,G,13614,G,9335,G,29507,H,13000,G,11884,G
Business,Paid employees for pay period including March 12,Information,2363,G,4036,G,4824,H,2505,G,10063,G,2300,G,10464,G,3963,H,2918,G
Business,Paid employees for pay period including March 12,Finance and insurance,5875,G,7914,G,11680,H,5601,G,28873,G,7361,G,14362,G,9109,G,7222,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,2909,G,2794,G,3495,G,2682,G,7173,G,1804,G,7550,G,2782,G,2836,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",8142,G,8212,G,8347,G,6421,G,31537,G,9138,G,25159,G,8910,G,7756,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,1497,J,5009,H,6617,G,1330,G,14794,G,10721,H,7456,G,2612,G,1469,H
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,9703,G,12755,G,14567,G,13679,G,28122,G,15065,G,24183,G,13010,G,11466,G
Business,Paid employees for pay period including March 12,Educational services,6547,H,18503,H,6887,G,3719,H,12635,G,2766,G,10156,G,4977,H,2039,G
Business,Paid employees for pay period including March 12,Health care and social assistance,45914,G,41713,G,50178,G,37535,H,61983,G,40711,G,55528,G,49605,G,39664,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",5112,H,2354,G,3523,G,1853,G,5675,G,3126,G,6452,G,2961,G,2779,G
Business,Paid employees for pay period including March 12,Accommodation and food services,29717,G,25214,G,28187,G,29493,G,42630,G,27014,G,35114,G,27607,G,31501,G
Business,Paid employees for pay period including March 12,Other services (except public administration),13859,G,12803,G,16740,G,11756,G,19473,G,9367,G,19060,G,12531,G,11706,G
Business,Paid employees for pay period including March 12,Industries not classified,6,G,31,H,40,J,35,J,29,J,25,G,9,G,29,G,18,J
Business,"Annual payroll ($1,000)",Total for all sectors,10201131,G,13236028,G,13236488,G,9902081,G,18357334,G,9480733,G,17747505,G,11410966,G,8903959,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",D,D,11563,J,6866,G,13167,H,10065,H,6900,G,D,D,7886,H,4258,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",6184,G,4650,J,11785,G,16482,H,17142,H,15722,G,4162,J,238110,G,30163,G
Business,"Annual payroll ($1,000)",Utilities,D,D,59327,J,72078,H,163416,J,140096,H,113895,H,209020,J,333893,H,105481,H
Business,"Annual payroll ($1,000)",Construction,903981,G,551947,G,684158,G,632359,G,992773,G,465655,G,1219675,G,956038,G,676209,G
Business,"Annual payroll ($1,000)",Manufacturing,2532349,G,5252261,G,4485445,G,3278864,H,1461016,G,2630023,G,2110103,G,2799991,G,2327179,G
Business,"Annual payroll ($1,000)",Wholesale trade,408187,G,816259,G,965507,G,540090,G,1254142,G,329936,G,1173668,G,804472,G,500778,G
Business,"Annual payroll ($1,000)",Retail trade,891713,G,873346,G,948179,G,907941,G,1198651,G,712630,G,836971,G,873614,G,881423,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,551568,G,362309,G,486316,G,707694,G,623842,G,400137,G,1211459,H,528569,G,548545,G
Business,"Annual payroll ($1,000)",Information,117949,G,312052,H,227521,H,96378,G,618297,G,95694,G,915905,G,161964,G,122407,G
Business,"Annual payroll ($1,000)",Finance and insurance,296727,G,437962,G,752724,G,287416,G,2212685,G,387832,G,1154502,G,549735,G,387671,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,111426,G,99614,G,122029,G,87036,G,406819,G,60506,G,409013,G,97329,G,94644,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",400938,G,444479,G,396341,G,317041,G,2253038,G,579503,G,1950724,G,462026,G,384677,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,127829,J,520902,G,594395,G,73945,G,1384448,G,896645,H,791895,G,239328,H,130380,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,380595,G,345268,G,407297,G,369956,G,1040986,G,419342,G,748192,G,367587,G,346485,G
Business,"Annual payroll ($1,000)",Educational services,158426,H,644357,H,154372,G,96572,H,316783,G,64497,G,328192,G,121923,H,54267,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2105610,G,1756796,G,2074964,G,1567094,H,2916018,H,1613938,G,2931963,H,2088940,G,1489340,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",118688,J,41607,G,58278,G,46007,G,147603,G,71283,H,499602,G,56089,G,42023,G
Business,"Annual payroll ($1,000)",Accommodation and food services,471208,G,346573,G,385762,G,418240,G,770590,G,410285,G,622660,G,392584,G,476233,G
Business,"Annual payroll ($1,000)",Other services (except public administration),378246,G,353907,G,401832,G,281780,G,591613,G,205716,G,628708,G,330361,G,301209,G
Business,"Annual payroll ($1,000)",Industries not classified,129,H,849,G,639,G,603,H,727,H,594,J,228,J,527,G,587,G
Business,Total Establishments,Total for all sectors,14793,X,15621,X,17467,X,15058,X,21571,X,14280,X,15162,X,16244,X,15232,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",2,X,29,X,40,X,39,X,25,X,42,X,3,X,54,X,34,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",10,X,12,X,30,X,24,X,21,X,34,X,5,X,99,X,39,X
Business,Total Establishments,Utilities,54,X,37,X,36,X,64,X,29,X,86,X,23,X,127,X,84,X
Business,Total Establishments,Construction,1320,X,1403,X,1681,X,1465,X,1486,X,1375,X,1142,X,1640,X,1613,X
Business,Total Establishments,Manufacturing,570,X,1609,X,1348,X,693,X,591,X,910,X,660,X,876,X,761,X
Business,Total Establishments,Wholesale trade,695,X,976,X,989,X,677,X,1306,X,591,X,929,X,790,X,560,X
Business,Total Establishments,Retail trade,2295,X,2360,X,2549,X,2302,X,2572,X,2271,X,1961,X,2543,X,2375,X
Business,Total Establishments,Transportation and warehousing,620,X,575,X,621,X,730,X,446,X,515,X,569,X,677,X,531,X
Business,Total Establishments,Information,158,X,205,X,236,X,219,X,437,X,189,X,277,X,212,X,228,X
Business,Total Establishments,Finance and insurance,895,X,902,X,1196,X,980,X,1778,X,870,X,741,X,972,X,999,X
Business,Total Establishments,Real estate and rental and leasing,598,X,562,X,747,X,611,X,1210,X,520,X,835,X,546,X,702,X
Business,Total Establishments,"Professional, scientific, and technical services",1352,X,1111,X,1362,X,1144,X,2989,X,934,X,1554,X,1192,X,1221,X
Business,Total Establishments,Management of companies and enterprises,63,X,90,X,96,X,54,X,226,X,81,X,131,X,80,X,81,X
Business,Total Establishments,Administrative and support and waste management and remediation services,743,X,720,X,866,X,715,X,1238,X,666,X,846,X,716,X,735,X
Business,Total Establishments,Educational services,211,X,159,X,188,X,130,X,344,X,122,X,195,X,146,X,153,X
Business,Total Establishments,Health care and social assistance,1817,X,1431,X,1696,X,1648,X,2677,X,1876,X,1820,X,1936,X,1809,X
Business,Total Establishments,"Arts, entertainment, and recreation",180,X,218,X,246,X,237,X,382,X,240,X,224,X,209,X,207,X
Business,Total Establishments,Accommodation and food services,1478,X,1369,X,1446,X,1579,X,1834,X,1240,X,1522,X,1458,X,1441,X
Business,Total Establishments,Other services (except public administration),1723,X,1828,X,2069,X,1728,X,1953,X,1691,X,1712,X,1953,X,1639,X
Business,Total Establishments,Industries not classified,9,X,25,X,25,X,19,X,27,X,27,X,13,X,18,X,20,X

Source: 2016 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
